Date,Open,High,Low,Close,Adj Close,Volume
2003-12-05,107.230003,107.519997,106.690002,106.879997,79.019249,312600
2003-12-08,106.709999,107.660004,106.709999,107.559998,79.521980,201000
2003-12-09,107.980003,107.980003,106.599998,106.739998,78.915756,190300
2003-12-10,106.879997,106.980003,106.050003,106.830002,78.982300,194800
2003-12-11,106.820000,108.129997,106.820000,108.010002,79.854698,449400
2003-12-12,108.080002,108.250000,107.500000,108.199997,79.995178,177600
2003-12-15,108.690002,108.690002,107.080002,107.139999,79.589554,1003500
2003-12-16,107.169998,107.849998,107.080002,107.739998,80.326111,809600
2003-12-17,107.669998,108.050003,107.349998,108.050003,80.557289,1496100
2003-12-18,108.120003,109.250000,107.930000,109.250000,81.451942,1041200
2003-12-19,109.349998,109.379997,108.660004,108.910004,81.198494,2212600
2003-12-22,109.000000,109.709999,108.849998,109.709999,81.794922,612000
2003-12-23,109.550003,109.940002,109.410004,109.760002,81.832199,513100
2003-12-24,109.589996,109.879997,109.459999,109.650002,81.750145,816800
2003-12-26,109.870003,110.089996,109.750000,109.790001,81.854591,232900
2003-12-29,110.250000,111.230003,110.150002,111.190002,82.898338,2913700
2003-12-30,111.190002,111.300003,110.879997,111.230003,82.928177,873700
2003-12-31,111.239998,111.580002,110.900002,111.220001,82.920685,347800
2004-01-02,111.629997,112.220001,110.809998,111.349998,83.017586,522800
2004-01-05,111.830002,112.540001,111.660004,112.440002,83.830292,1258000
2004-01-06,112.269997,112.790001,112.169998,112.620003,83.964500,1132500
2004-01-07,112.570000,113.010002,111.980003,113.010002,84.255257,772500
2004-01-08,113.150002,113.449997,112.820000,113.410004,84.553482,1505500
2004-01-09,112.900002,113.489998,112.360001,112.480003,83.860123,1120300
2004-01-12,112.669998,113.300003,112.449997,113.300003,84.471466,518700
2004-01-13,113.239998,113.269997,111.820000,112.620003,83.964500,366500
2004-01-14,112.849998,113.639999,112.739998,113.610001,84.702568,316200
2004-01-15,113.620003,114.099998,112.809998,113.820000,84.859138,816300
2004-01-16,114.040001,114.349998,113.699997,114.330002,85.239372,750700
2004-01-20,114.610001,115.000000,113.879997,114.250000,85.179741,860500
2004-01-21,114.230003,115.199997,113.750000,115.059998,85.783607,694100
2004-01-22,115.230003,115.400002,114.639999,114.889999,85.656860,453000
2004-01-23,115.000000,115.379997,114.000000,114.379997,85.276665,648700
2004-01-26,114.510002,116.000000,114.370003,115.970001,86.462074,691800
2004-01-27,115.930000,115.930000,114.730003,114.790001,85.582321,238800
2004-01-28,115.050003,115.320000,113.000000,113.440002,84.575844,351900
2004-01-29,113.720001,113.900002,112.639999,113.589996,84.687675,625500
2004-01-30,113.570000,113.720001,113.160004,113.610001,84.702568,735300
2004-02-02,113.739998,114.669998,113.190002,114.029999,85.015709,201000
